option,count,percent
The programme is too expensive,62,57.9
The time commitment is too high,37,34.6
The location is inconvenient,32,29.9
I am worried the content will be too difficult,25,23.4
I do not know if it will help my career,19,17.8
I am worried the content will be too basic,15,14.0
I am not confident enough to join,13,12.1
"I would only join if there are clear internship, job, research, or startup opportunities",13,12.1
I do not have enough background,12,11.2
I prefer fully online learning,7,6.5
